cpu_cycle,ppu_frame,ppu_scanline,ppu_dot,m2_phase,kind,addr,value,dmc_bytes_rem,dmc_sample_addr,dmc_irq_flag,dmc_irq_en,dmc_silence
8159745,275,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8189525,276,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8219306,277,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8249086,278,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8278867,279,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8308647,280,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8338428,281,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8368208,282,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8397989,283,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8427769,284,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8457550,285,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8487330,286,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8517111,287,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8546891,288,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8576672,289,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8606452,290,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8636233,291,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8666013,292,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8695794,293,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8725574,294,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8755355,295,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8785135,296,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8814916,297,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8844696,298,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8874477,299,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8904257,300,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8934038,301,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8963818,302,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8993599,303,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9023379,304,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9053160,305,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9082940,306,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9112721,307,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9142501,308,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9172282,309,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9202062,310,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9229638,311,241,205,L,W,$4015,$00,0,$FFC0,0,0,1
9231843,311,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9261623,312,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9291404,313,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9319032,314,242,22,L,W,$4015,$00,0,$FFC0,0,0,1
9321184,314,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9350965,315,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9378687,316,242,304,H,W,$4015,$00,0,$FFC0,0,0,1
9380745,316,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9410526,317,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9438142,318,241,327,L,W,$4015,$00,0,$FFC0,0,0,1
9440306,318,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9470087,319,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9497706,320,241,336,L,R,$4015,$00,0,$FFC0,0,0,1
9499867,320,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9529648,321,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9559428,322,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9587119,323,242,209,H,W,$4015,$00,0,$FFC0,0,0,1
9589209,323,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9618989,324,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9648770,325,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9678550,326,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9708331,327,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9738111,328,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9767892,329,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9797672,330,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9827453,331,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9857233,332,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9887014,333,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9916794,334,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
9946575,335,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
9974160,336,241,234,L,W,$4015,$00,0,$FFC0,0,0,1
9976355,336,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
10006136,337,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
